repo_name,slice_id,first_commit_num,first_commit,first_state,first_core_commit_num,first_core_commit,starts_as_core,timeline_len,core_occurrence_count,core_commit_nums,core_commits,state_path,timeline
KMike,<module>@ransomware_core_decrypt_files.py_slice.py,12,647fe,Core Attack Chain,12,647fe,1,28,26,12;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,647fe;abafd;33184;d75a9;6e12c;260e6;c18d4;bf4f9;1f1ca;b7edb;51fa8;7aa7d;36360;9873a;ef755;658cc;6201f;3a48f;8ed32;55750;3f8b3;a7ccd;602d0;a6b60;ad463;3af22,Core Attack Chain -> Benign -> Benign -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,12(647fe):Core Attack Chain -> 13(1ccc9):Benign -> 14(62b21):Benign -> 15(abafd):Core Attack Chain -> 16(33184):Core Attack Chain -> 17(d75a9):Core Attack Chain -> 18(6e12c):Core Attack Chain -> 19(260e6):Core Attack Chain -> 20(c18d4):Core Attack Chain -> 21(bf4f9):Core Attack Chain -> 22(1f1ca):Core Attack Chain -> 23(b7edb):Core Attack Chain -> 24(51fa8):Core Attack Chain -> 25(7aa7d):Core Attack Chain -> 26(36360):Core Attack Chain -> 27(9873a):Core Attack Chain -> 28(ef755):Core Attack Chain -> 29(658cc):Core Attack Chain -> 30(6201f):Core Attack Chain -> 31(3a48f):Core Attack Chain -> 32(8ed32):Core Attack Chain -> 33(55750):Core Attack Chain -> 34(3f8b3):Core Attack Chain -> 35(a7ccd):Core Attack Chain -> 36(602d0):Core Attack Chain -> 37(a6b60):Core Attack Chain -> 38(ad463):Core Attack Chain -> 39(3af22):Core Attack Chain
KMike,<module>@ransomware_core_encrypt_files.py_slice.py,12,647fe,Core Attack Chain,12,647fe,1,1,1,12,647fe,Core Attack Chain,12(647fe):Core Attack Chain
KMike,<module>@ransomware_core_utils.py_slice.py,12,647fe,Core Attack Chain,12,647fe,1,4,2,12;15,647fe;abafd,Core Attack Chain -> Benign -> Benign -> Core Attack Chain,12(647fe):Core Attack Chain -> 13(1ccc9):Benign -> 14(62b21):Benign -> 15(abafd):Core Attack Chain
KMike,<module>@ransomware_core_utils_file_ops.py_slice.py,16,33184,Core Attack Chain,16,33184,1,24,12,16;29;30;31;32;33;34;35;36;37;38;39,33184;658cc;6201f;3a48f;8ed32;55750;3f8b3;a7ccd;602d0;a6b60;ad463;3af22,Core Attack Chain -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,16(33184):Core Attack Chain -> 17(d75a9):Undetermined -> 18(6e12c):Undetermined -> 19(260e6):Undetermined -> 20(c18d4):Undetermined -> 21(bf4f9):Undetermined -> 22(1f1ca):Undetermined -> 23(b7edb):Undetermined -> 24(51fa8):Undetermined -> 25(7aa7d):Undetermined -> 26(36360):Undetermined -> 27(9873a):Undetermined -> 28(ef755):Undetermined -> 29(658cc):Core Attack Chain -> 30(6201f):Core Attack Chain -> 31(3a48f):Core Attack Chain -> 32(8ed32):Core Attack Chain -> 33(55750):Core Attack Chain -> 34(3f8b3):Core Attack Chain -> 35(a7ccd):Core Attack Chain -> 36(602d0):Core Attack Chain -> 37(a6b60):Core Attack Chain -> 38(ad463):Core Attack Chain -> 39(3af22):Core Attack Chain
KMike,<module>@ransomware_encrypt_files.py_slice.py,1,798ec,Core Attack Chain,1,798ec,1,2,1,1,798ec,Core Attack Chain -> Benign,1(798ec):Core Attack Chain -> 2(2b764):Benign
KMike,hello_world@c_and_c_server_server.py_slice.py,6,e3a63,Core Attack Chain,6,e3a63,1,4,1,6,e3a63,Core Attack Chain -> Undetermined -> Undetermined -> Undetermined,6(e3a63):Core Attack Chain -> 7(8fb52):Undetermined -> 8(15cec):Undetermined -> 9(dd6c0):Undetermined
KMike,initialise@c_and_c_server_server.py_slice.py,13,1ccc9,Core Attack Chain,13,1ccc9,1,27,27,13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,1ccc9;62b21;abafd;33184;d75a9;6e12c;260e6;c18d4;bf4f9;1f1ca;b7edb;51fa8;7aa7d;36360;9873a;ef755;658cc;6201f;3a48f;8ed32;55750;3f8b3;a7ccd;602d0;a6b60;ad463;3af22,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,13(1ccc9):Core Attack Chain -> 14(62b21):Core Attack Chain -> 15(abafd):Core Attack Chain -> 16(33184):Core Attack Chain -> 17(d75a9):Core Attack Chain -> 18(6e12c):Core Attack Chain -> 19(260e6):Core Attack Chain -> 20(c18d4):Core Attack Chain -> 21(bf4f9):Core Attack Chain -> 22(1f1ca):Core Attack Chain -> 23(b7edb):Core Attack Chain -> 24(51fa8):Core Attack Chain -> 25(7aa7d):Core Attack Chain -> 26(36360):Core Attack Chain -> 27(9873a):Core Attack Chain -> 28(ef755):Core Attack Chain -> 29(658cc):Core Attack Chain -> 30(6201f):Core Attack Chain -> 31(3a48f):Core Attack Chain -> 32(8ed32):Core Attack Chain -> 33(55750):Core Attack Chain -> 34(3f8b3):Core Attack Chain -> 35(a7ccd):Core Attack Chain -> 36(602d0):Core Attack Chain -> 37(a6b60):Core Attack Chain -> 38(ad463):Core Attack Chain -> 39(3af22):Core Attack Chain
KMike,process@c_and_c_server_server.py_slice.py,10,f9b65,Core Attack Chain,10,f9b65,1,3,3,10;11;12,f9b65;53197;647fe,Core Attack Chain -> Core Attack Chain -> Core Attack Chain,10(f9b65):Core Attack Chain -> 11(53197):Core Attack Chain -> 12(647fe):Core Attack Chain
KeySpy,<body>@core_alert_manager.py_slice.py,4,8e87b,Core Attack Chain,4,8e87b,1,22,22,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,8e87b;1d0a5;eaef5;9c9d6;42040;f1f6c;d0e6c;8a2cb;26d79;216b7;933b5;04fa2;1dc1b;71084;c1a12;d4716;4eacf;119a1;46bc5;2e4a4;f69a3;b65de,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,4(8e87b):Core Attack Chain -> 5(1d0a5):Core Attack Chain -> 6(eaef5):Core Attack Chain -> 7(9c9d6):Core Attack Chain -> 8(42040):Core Attack Chain -> 9(f1f6c):Core Attack Chain -> 10(d0e6c):Core Attack Chain -> 11(8a2cb):Core Attack Chain -> 12(26d79):Core Attack Chain -> 13(216b7):Core Attack Chain -> 14(933b5):Core Attack Chain -> 15(04fa2):Core Attack Chain -> 16(1dc1b):Core Attack Chain -> 17(71084):Core Attack Chain -> 18(c1a12):Core Attack Chain -> 19(d4716):Core Attack Chain -> 20(4eacf):Core Attack Chain -> 21(119a1):Core Attack Chain -> 22(46bc5):Core Attack Chain -> 23(2e4a4):Core Attack Chain -> 24(f69a3):Core Attack Chain -> 25(b65de):Core Attack Chain
KeySpy,<body>@core_logger.py_slice.py,2,ecb6a,Core Attack Chain,2,ecb6a,1,24,24,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,ecb6a;2075a;8e87b;1d0a5;eaef5;9c9d6;42040;f1f6c;d0e6c;8a2cb;26d79;216b7;933b5;04fa2;1dc1b;71084;c1a12;d4716;4eacf;119a1;46bc5;2e4a4;f69a3;b65de,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,2(ecb6a):Core Attack Chain -> 3(2075a):Core Attack Chain -> 4(8e87b):Core Attack Chain -> 5(1d0a5):Core Attack Chain -> 6(eaef5):Core Attack Chain -> 7(9c9d6):Core Attack Chain -> 8(42040):Core Attack Chain -> 9(f1f6c):Core Attack Chain -> 10(d0e6c):Core Attack Chain -> 11(8a2cb):Core Attack Chain -> 12(26d79):Core Attack Chain -> 13(216b7):Core Attack Chain -> 14(933b5):Core Attack Chain -> 15(04fa2):Core Attack Chain -> 16(1dc1b):Core Attack Chain -> 17(71084):Core Attack Chain -> 18(c1a12):Core Attack Chain -> 19(d4716):Core Attack Chain -> 20(4eacf):Core Attack Chain -> 21(119a1):Core Attack Chain -> 22(46bc5):Core Attack Chain -> 23(2e4a4):Core Attack Chain -> 24(f69a3):Core Attack Chain -> 25(b65de):Core Attack Chain
KeySpy,<body>@core_persistence.py_slice.py,5,1d0a5,Core Attack Chain,5,1d0a5,1,21,21,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,1d0a5;eaef5;9c9d6;42040;f1f6c;d0e6c;8a2cb;26d79;216b7;933b5;04fa2;1dc1b;71084;c1a12;d4716;4eacf;119a1;46bc5;2e4a4;f69a3;b65de,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,5(1d0a5):Core Attack Chain -> 6(eaef5):Core Attack Chain -> 7(9c9d6):Core Attack Chain -> 8(42040):Core Attack Chain -> 9(f1f6c):Core Attack Chain -> 10(d0e6c):Core Attack Chain -> 11(8a2cb):Core Attack Chain -> 12(26d79):Core Attack Chain -> 13(216b7):Core Attack Chain -> 14(933b5):Core Attack Chain -> 15(04fa2):Core Attack Chain -> 16(1dc1b):Core Attack Chain -> 17(71084):Core Attack Chain -> 18(c1a12):Core Attack Chain -> 19(d4716):Core Attack Chain -> 20(4eacf):Core Attack Chain -> 21(119a1):Core Attack Chain -> 22(46bc5):Core Attack Chain -> 23(2e4a4):Core Attack Chain -> 24(f69a3):Core Attack Chain -> 25(b65de):Core Attack Chain
KeySpy,<body>@platform_linux_keylogger.py_slice.py,6,eaef5,Core Attack Chain,6,eaef5,1,20,20,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,eaef5;9c9d6;42040;f1f6c;d0e6c;8a2cb;26d79;216b7;933b5;04fa2;1dc1b;71084;c1a12;d4716;4eacf;119a1;46bc5;2e4a4;f69a3;b65de,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,6(eaef5):Core Attack Chain -> 7(9c9d6):Core Attack Chain -> 8(42040):Core Attack Chain -> 9(f1f6c):Core Attack Chain -> 10(d0e6c):Core Attack Chain -> 11(8a2cb):Core Attack Chain -> 12(26d79):Core Attack Chain -> 13(216b7):Core Attack Chain -> 14(933b5):Core Attack Chain -> 15(04fa2):Core Attack Chain -> 16(1dc1b):Core Attack Chain -> 17(71084):Core Attack Chain -> 18(c1a12):Core Attack Chain -> 19(d4716):Core Attack Chain -> 20(4eacf):Core Attack Chain -> 21(119a1):Core Attack Chain -> 22(46bc5):Core Attack Chain -> 23(2e4a4):Core Attack Chain -> 24(f69a3):Core Attack Chain -> 25(b65de):Core Attack Chain
KeySpy,<body>@platform_mac_keylogger.py_slice.py,7,9c9d6,Core Attack Chain,7,9c9d6,1,19,19,7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,9c9d6;42040;f1f6c;d0e6c;8a2cb;26d79;216b7;933b5;04fa2;1dc1b;71084;c1a12;d4716;4eacf;119a1;46bc5;2e4a4;f69a3;b65de,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,7(9c9d6):Core Attack Chain -> 8(42040):Core Attack Chain -> 9(f1f6c):Core Attack Chain -> 10(d0e6c):Core Attack Chain -> 11(8a2cb):Core Attack Chain -> 12(26d79):Core Attack Chain -> 13(216b7):Core Attack Chain -> 14(933b5):Core Attack Chain -> 15(04fa2):Core Attack Chain -> 16(1dc1b):Core Attack Chain -> 17(71084):Core Attack Chain -> 18(c1a12):Core Attack Chain -> 19(d4716):Core Attack Chain -> 20(4eacf):Core Attack Chain -> 21(119a1):Core Attack Chain -> 22(46bc5):Core Attack Chain -> 23(2e4a4):Core Attack Chain -> 24(f69a3):Core Attack Chain -> 25(b65de):Core Attack Chain
KeySpy,<body>@platform_windows_keylogger.py_slice.py,8,42040,Core Attack Chain,8,42040,1,18,18,8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,42040;f1f6c;d0e6c;8a2cb;26d79;216b7;933b5;04fa2;1dc1b;71084;c1a12;d4716;4eacf;119a1;46bc5;2e4a4;f69a3;b65de,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,8(42040):Core Attack Chain -> 9(f1f6c):Core Attack Chain -> 10(d0e6c):Core Attack Chain -> 11(8a2cb):Core Attack Chain -> 12(26d79):Core Attack Chain -> 13(216b7):Core Attack Chain -> 14(933b5):Core Attack Chain -> 15(04fa2):Core Attack Chain -> 16(1dc1b):Core Attack Chain -> 17(71084):Core Attack Chain -> 18(c1a12):Core Attack Chain -> 19(d4716):Core Attack Chain -> 20(4eacf):Core Attack Chain -> 21(119a1):Core Attack Chain -> 22(46bc5):Core Attack Chain -> 23(2e4a4):Core Attack Chain -> 24(f69a3):Core Attack Chain -> 25(b65de):Core Attack Chain
KeySpy,<body>@tests_test_logger.py_slice.py,14,933b5,Core Attack Chain,14,933b5,1,12,12,14;15;16;17;18;19;20;21;22;23;24;25,933b5;04fa2;1dc1b;71084;c1a12;d4716;4eacf;119a1;46bc5;2e4a4;f69a3;b65de,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,14(933b5):Core Attack Chain -> 15(04fa2):Core Attack Chain -> 16(1dc1b):Core Attack Chain -> 17(71084):Core Attack Chain -> 18(c1a12):Core Attack Chain -> 19(d4716):Core Attack Chain -> 20(4eacf):Core Attack Chain -> 21(119a1):Core Attack Chain -> 22(46bc5):Core Attack Chain -> 23(2e4a4):Core Attack Chain -> 24(f69a3):Core Attack Chain -> 25(b65de):Core Attack Chain
KeySpy,<module>@platform_linux_keylogger.py_slice.py,6,eaef5,Core Attack Chain,6,eaef5,1,20,20,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,eaef5;9c9d6;42040;f1f6c;d0e6c;8a2cb;26d79;216b7;933b5;04fa2;1dc1b;71084;c1a12;d4716;4eacf;119a1;46bc5;2e4a4;f69a3;b65de,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,6(eaef5):Core Attack Chain -> 7(9c9d6):Core Attack Chain -> 8(42040):Core Attack Chain -> 9(f1f6c):Core Attack Chain -> 10(d0e6c):Core Attack Chain -> 11(8a2cb):Core Attack Chain -> 12(26d79):Core Attack Chain -> 13(216b7):Core Attack Chain -> 14(933b5):Core Attack Chain -> 15(04fa2):Core Attack Chain -> 16(1dc1b):Core Attack Chain -> 17(71084):Core Attack Chain -> 18(c1a12):Core Attack Chain -> 19(d4716):Core Attack Chain -> 20(4eacf):Core Attack Chain -> 21(119a1):Core Attack Chain -> 22(46bc5):Core Attack Chain -> 23(2e4a4):Core Attack Chain -> 24(f69a3):Core Attack Chain -> 25(b65de):Core Attack Chain
KeySpy,<module>@platform_mac_keylogger.py_slice.py,7,9c9d6,Core Attack Chain,7,9c9d6,1,19,19,7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,9c9d6;42040;f1f6c;d0e6c;8a2cb;26d79;216b7;933b5;04fa2;1dc1b;71084;c1a12;d4716;4eacf;119a1;46bc5;2e4a4;f69a3;b65de,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,7(9c9d6):Core Attack Chain -> 8(42040):Core Attack Chain -> 9(f1f6c):Core Attack Chain -> 10(d0e6c):Core Attack Chain -> 11(8a2cb):Core Attack Chain -> 12(26d79):Core Attack Chain -> 13(216b7):Core Attack Chain -> 14(933b5):Core Attack Chain -> 15(04fa2):Core Attack Chain -> 16(1dc1b):Core Attack Chain -> 17(71084):Core Attack Chain -> 18(c1a12):Core Attack Chain -> 19(d4716):Core Attack Chain -> 20(4eacf):Core Attack Chain -> 21(119a1):Core Attack Chain -> 22(46bc5):Core Attack Chain -> 23(2e4a4):Core Attack Chain -> 24(f69a3):Core Attack Chain -> 25(b65de):Core Attack Chain
KeySpy,<module>@platform_windows_keylogger.py_slice.py,8,42040,Core Attack Chain,8,42040,1,18,18,8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,42040;f1f6c;d0e6c;8a2cb;26d79;216b7;933b5;04fa2;1dc1b;71084;c1a12;d4716;4eacf;119a1;46bc5;2e4a4;f69a3;b65de,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,8(42040):Core Attack Chain -> 9(f1f6c):Core Attack Chain -> 10(d0e6c):Core Attack Chain -> 11(8a2cb):Core Attack Chain -> 12(26d79):Core Attack Chain -> 13(216b7):Core Attack Chain -> 14(933b5):Core Attack Chain -> 15(04fa2):Core Attack Chain -> 16(1dc1b):Core Attack Chain -> 17(71084):Core Attack Chain -> 18(c1a12):Core Attack Chain -> 19(d4716):Core Attack Chain -> 20(4eacf):Core Attack Chain -> 21(119a1):Core Attack Chain -> 22(46bc5):Core Attack Chain -> 23(2e4a4):Core Attack Chain -> 24(f69a3):Core Attack Chain -> 25(b65de):Core Attack Chain
KeySpy,<module>@scripts_run_keylogger.py_slice.py,11,8a2cb,Core Attack Chain,11,8a2cb,1,15,15,11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,8a2cb;26d79;216b7;933b5;04fa2;1dc1b;71084;c1a12;d4716;4eacf;119a1;46bc5;2e4a4;f69a3;b65de,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,11(8a2cb):Core Attack Chain -> 12(26d79):Core Attack Chain -> 13(216b7):Core Attack Chain -> 14(933b5):Core Attack Chain -> 15(04fa2):Core Attack Chain -> 16(1dc1b):Core Attack Chain -> 17(71084):Core Attack Chain -> 18(c1a12):Core Attack Chain -> 19(d4716):Core Attack Chain -> 20(4eacf):Core Attack Chain -> 21(119a1):Core Attack Chain -> 22(46bc5):Core Attack Chain -> 23(2e4a4):Core Attack Chain -> 24(f69a3):Core Attack Chain -> 25(b65de):Core Attack Chain
KeySpy,<module>@scripts_test_logging.py_slice.py,12,26d79,Core Attack Chain,12,26d79,1,14,14,12;13;14;15;16;17;18;19;20;21;22;23;24;25,26d79;216b7;933b5;04fa2;1dc1b;71084;c1a12;d4716;4eacf;119a1;46bc5;2e4a4;f69a3;b65de,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,12(26d79):Core Attack Chain -> 13(216b7):Core Attack Chain -> 14(933b5):Core Attack Chain -> 15(04fa2):Core Attack Chain -> 16(1dc1b):Core Attack Chain -> 17(71084):Core Attack Chain -> 18(c1a12):Core Attack Chain -> 19(d4716):Core Attack Chain -> 20(4eacf):Core Attack Chain -> 21(119a1):Core Attack Chain -> 22(46bc5):Core Attack Chain -> 23(2e4a4):Core Attack Chain -> 24(f69a3):Core Attack Chain -> 25(b65de):Core Attack Chain
MakeMalware_EthicalHacking,<body>@Project_Backdoor_backdoor.py_slice.py,12,f0f7d,Core Attack Chain,12,f0f7d,1,6,6,12;13;14;15;16;17,f0f7d;e3fe9;4bc0e;7ad1b;c418d;74015,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,12(f0f7d):Core Attack Chain -> 13(e3fe9):Core Attack Chain -> 14(4bc0e):Core Attack Chain -> 15(7ad1b):Core Attack Chain -> 16(c418d):Core Attack Chain -> 17(74015):Core Attack Chain
MakeMalware_EthicalHacking,<body>@Project_Backdoor_listen.py_slice.py,13,e3fe9,Core Attack Chain,13,e3fe9,1,5,5,13;14;15;16;17,e3fe9;4bc0e;7ad1b;c418d;74015,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,13(e3fe9):Core Attack Chain -> 14(4bc0e):Core Attack Chain -> 15(7ad1b):Core Attack Chain -> 16(c418d):Core Attack Chain -> 17(74015):Core Attack Chain
MakeMalware_EthicalHacking,<module>@Project_Backdoor_chat.py_slice.py,10,6b7e3,Core Attack Chain,10,6b7e3,1,8,8,10;11;12;13;14;15;16;17,6b7e3;fa6ae;f0f7d;e3fe9;4bc0e;7ad1b;c418d;74015,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,10(6b7e3):Core Attack Chain -> 11(fa6ae):Core Attack Chain -> 12(f0f7d):Core Attack Chain -> 13(e3fe9):Core Attack Chain -> 14(4bc0e):Core Attack Chain -> 15(7ad1b):Core Attack Chain -> 16(c418d):Core Attack Chain -> 17(74015):Core Attack Chain
MakeMalware_EthicalHacking,<module>@Project_Backdoor_connect.py_slice.py,9,31751,Core Attack Chain,9,31751,1,9,9,9;10;11;12;13;14;15;16;17,31751;6b7e3;fa6ae;f0f7d;e3fe9;4bc0e;7ad1b;c418d;74015,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,9(31751):Core Attack Chain -> 10(6b7e3):Core Attack Chain -> 11(fa6ae):Core Attack Chain -> 12(f0f7d):Core Attack Chain -> 13(e3fe9):Core Attack Chain -> 14(4bc0e):Core Attack Chain -> 15(7ad1b):Core Attack Chain -> 16(c418d):Core Attack Chain -> 17(74015):Core Attack Chain
MakeMalware_EthicalHacking,<module>@Project_Backdoor_executeCommandServerInteractive.py_slice.py,13,e3fe9,Core Attack Chain,13,e3fe9,1,5,5,13;14;15;16;17,e3fe9;4bc0e;7ad1b;c418d;74015,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,13(e3fe9):Core Attack Chain -> 14(4bc0e):Core Attack Chain -> 15(7ad1b):Core Attack Chain -> 16(c418d):Core Attack Chain -> 17(74015):Core Attack Chain
MakeMalware_EthicalHacking,<module>@Project_Backdoor_talk.py_slice.py,11,fa6ae,Core Attack Chain,11,fa6ae,1,7,7,11;12;13;14;15;16;17,fa6ae;f0f7d;e3fe9;4bc0e;7ad1b;c418d;74015,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,11(fa6ae):Core Attack Chain -> 12(f0f7d):Core Attack Chain -> 13(e3fe9):Core Attack Chain -> 14(4bc0e):Core Attack Chain -> 15(7ad1b):Core Attack Chain -> 16(c418d):Core Attack Chain -> 17(74015):Core Attack Chain
MakeMalware_EthicalHacking,<module>@Project_Keylogger_callKeylogger.py_slice.py,7,b044a,Core Attack Chain,7,b044a,1,11,11,7;8;9;10;11;12;13;14;15;16;17,b044a;e2fd5;31751;6b7e3;fa6ae;f0f7d;e3fe9;4bc0e;7ad1b;c418d;74015,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,7(b044a):Core Attack Chain -> 8(e2fd5):Core Attack Chain -> 9(31751):Core Attack Chain -> 10(6b7e3):Core Attack Chain -> 11(fa6ae):Core Attack Chain -> 12(f0f7d):Core Attack Chain -> 13(e3fe9):Core Attack Chain -> 14(4bc0e):Core Attack Chain -> 15(7ad1b):Core Attack Chain -> 16(c418d):Core Attack Chain -> 17(74015):Core Attack Chain
